identity,scopus_id,doi,title,year,journal,original_query,narrower_query,sample_us_label,source_review,conflict,conflict_resolution,mixed,adjudicated,rationale,n_validated_reviews,evidence_ids,human_validated
SCOPUS_ID:85010604453,85010604453,,Lawful or fair? How cops and laypeople perceive good policing,2016,Journal of Criminal Law and Criminology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:85011573622,85011573622,,Value poaching: Framing the same values for competing political ends,2015,International Journal of Communication,true,true,unclear,metadata,false,,false,false,No respondent country or identifiable recruitment setting is given for the speech-framing experiment.,1,e62c9cb301e49b20335f,false
SCOPUS_ID:85019980045,85019980045,,Alcohol as an excuse: The role of aggressor's alcohol intoxication on attribution of responsibility and blame,2014,Revue Internationale De Psychologie Sociale,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:85026905547,85026905547,,"The informed consent to record linkage in panel studies: Optimal starting wave, consent refusals, and subsequent panel attrition",2017,Public Opinion Quarterly,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:85029617494,85029617494,,Contentious discourse in Mexican elections,2016,Politica Y Gobierno,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:85047971161,85047971161,,Election pledge rhetoric: Selling policy with words,2017,International Journal of Communication,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:85062680553,85062680553,,Discriminatory Attitudes towards the Female Mobility: Evidence from a Survey Experiment,2019,Economic and Political Weekly,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:85063302191,85063302191,,Consent to contend: The power of the masses in China’s local Elite Bargain,2019,China Review,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:85077113602,85077113602,,How propaganda moderates the influence of opinion leaders on social media in china,2018,International Journal of Communication,true,true,non_us,metadata,false,,false,false,Metadata identifies a non-US population or study setting; no US experimental sample is reported.,1,ab18bdb34bcd87f91115,false
SCOPUS_ID:85099442618,85099442618,,Contextualizing the Effect of Digital Protest Appeals on Political SelfExpression: Evidence From a Cross-Case Comparison,2020,International Journal of Communication,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:85099576940,85099576940,,Doubt Versus Trust: Framing Effects of the News About the 2018 Trump-Kim Jong Un Summit in Singapore on American College Students,2020,International Journal of Communication,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:85115751581,85115751581,,An investigation into the impact of virtual reality character presentation on participants’ depression stigma,2020,Annual Review of Cybertherapy and Telemedicine,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:85123957924,85123957924,,Affect and prosocial behavior: The role of decision mode and individual processing style,2022,Judgment and Decision Making,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:85134056656,85134056656,,How Does Anti-Corruption Information Affect Public Perceptions of Corruption in China?,2022,China Review,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:85139144021,85139144021,,Does Soft Propaganda Work? The Impact of Inequality Rhetoric on Opinions toward Economic Inequality in China,2022,China Review,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:85144775920,85144775920,,A Trade War With or Without Trump: Actual Topical Knowledge as a Moderator of Question Wording Effect on Survey Responses,2022,International Journal of Communication,true,true,us_inferred,metadata,false,,false,false,An online survey experiment varies whether trade-war questions mention Trump; the domestic political-cue framing supports inferred US sampling.,1,5d4fc5615a43668a2ffc,false
SCOPUS_ID:85146866960,85146866960,,Job Satisfaction and Social Media Use: Cognitive Reflection and Journalists’ Utilization in Egypt and the United States,2022,International Journal of Communication,true,true,us_explicit,metadata,false,,true,false,Comparative journalist samples in both countries.,2,c0b06f1029b29b19ba6f|c187cd80dfea7b055060,false
SCOPUS_ID:85153076638,85153076638,,The Other Side of the Pandemic: Effects of Racialized News Coverage on Attitudes Toward Asians and Immigrants,2022,International Journal of Communication,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:85158975583,85158975583,,The Tax Compliance Puzzle: Economic and Moral Effects on Fiscal Evasion in Spain,2023,Politica Y Gobierno,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:85161267129,85161267129,,"Twitter and Endorsed (Fake) News: The Influence of Endorsement by Strong Ties, Celebrities, and a User Majority on Credibility of Fake News During the COVID-19 Pandemic",2022,International Journal of Communication,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:85165495673,85165495673,,Evaluating the Influence of Metaphor in News on Foreign-Policy Support,2022,International Journal of Communication,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:85169048985,85169048985,,Older Adults and “the Biggest Lie on the Internet”: From Ignoring Social Media Policies to the Privacy Paradox,2022,International Journal of Communication,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:85169683944,85169683944,,GENDER AND DECEPTION: MORAL PERCEPTIONS AND LEGAL RESPONSES,2023,Northwestern University Law Review,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:85176385854,85176385854,,Attacking the Gatekeepers: A Survey Experiment on the Effects of Elite Criticism on the Media,2022,International Journal of Communication,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:85176414741,85176414741,,"Opinion Polls in Context: Partisan Embeddedness, Source Confusion, and the Effects of Socially Transmitted Polls",2022,International Journal of Communication,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:85177044613,85177044613,,Disinformation as a Widespread Problem and Vulnerability Factors Toward it: Evidence From a Quasi-Experimental Survey in Spain,2022,International Journal of Communication,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:85177049872,85177049872,,Sincerity Over Accuracy: Epistemic Preferences and the Persuasiveness of Uncivil and Simple Rhetoric,2022,International Journal of Communication,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:85177060425,85177060425,,Do Brands Matter? Understanding Public Trust in Third-Party Factcheckers of Misinformation and Disinformation on Facebook,2023,International Journal of Communication,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:85177090540,85177090540,,Political Campaign Ads on Facebook: Investigating the Effects of Incivility in Videos and User Comments on Affective Polarization and Mobilization,2023,International Journal of Communication,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:85177784624,85177784624,,Does a Man's Hardship Matter More Than a Woman's? Reasons for Justifying Domestic Violence,2023,Economic and Political Weekly,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:85186880270,85186880270,,"Uncertainty Communication in a High-Trust Society: Source Type, Political Preference, and Trust",2024,International Journal of Communication,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:85209586542,85209586542,,"TECHNOLOGY, TRADITION, AND “THE TERROR OF THE PEOPLE”",2024,Notre Dame Law Review,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
SCOPUS_ID:85216308848,85216308848,,"When Corrections Fail: Effects of Misinformation Targets, Repeated Exposure, and Partisanship on Misinformation Beliefs",2025,International Journal of Communication,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1001/jamahealthforum.2021.2932,85147410768,10.1001/jamahealthforum.2021.2932,Variability in Primary Care Physician Attitudes Toward Medicaid Work Requirement Exemption Requests Made by Patients with Depression,2021,JAMA Health Forum,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1001/jamahealthforum.2024.3305,85205151947,10.1001/jamahealthforum.2024.3305,Voter Support for Policies Associated with Child Health as National Campaign Priorities,2024,JAMA Health Forum,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1001/jamanetworkopen.2018.6149,85064120941,10.1001/jamanetworkopen.2018.6149,Ethical Acceptability of Postrandomization Consent in Pragmatic Clinical Trials,2018,JAMA Network Open,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1001/jamanetworkopen.2018.7355,85066491378,10.1001/jamanetworkopen.2018.7355,Association Between Financial Incentives and Participant Deception About Study Eligibility,2019,JAMA Network Open,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1001/jamanetworkopen.2021.27827,85117550049,10.1001/jamanetworkopen.2021.27827,"Testing practices, interpretation, and diagnostic evaluation of iron deficiency anemia by us primary care physicians",2021,JAMA Network Open,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1001/jamanetworkopen.2023.37281,85175186112,10.1001/jamanetworkopen.2023.37281,Factors Important to Older Adults Who Disagree with a Deprescribing Recommendation,2023,JAMA Network Open,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/ab.21624,84963701055,10.1002/ab.21624,Dressed to kill? Visible markers of coalitional affiliation enhance conceptualized formidability,2016,Aggressive Behavior,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/ab.21745,85041196671,10.1002/ab.21745,"An experimental examination of alcohol consumption, alcohol expectancy, and self-blame on willingness to report a hypothetical rape",2018,Aggressive Behavior,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/ab.70064,105032888543,10.1002/ab.70064,"Well, That Was a Rude Exchange! A Multi-Study Examination of Trust as a Mediator Between Cyberbullying or Cyber Incivility Victimization and Relational Outcomes at Work",2026,Aggressive Behavior,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/acp.2903,84876863308,10.1002/acp.2903,Judgments about Felony-Murder in Hindsight,2013,Applied Cognitive Psychology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/acp.2918,84880826805,10.1002/acp.2918,Attention and memory for newspaper advertisements: Effects of ad-editorial congruency and location,2013,Applied Cognitive Psychology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/acp.3233,84963568620,10.1002/acp.3233,Sensitizing Potential Jurors to Variations in Eyewitness Evidence Quality Using Counterfactual Thinking,2016,Applied Cognitive Psychology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/acp.3387,85042934543,10.1002/acp.3387,Effects of background chewing sounds on learning: The role of misophonia sensitivity,2018,Applied Cognitive Psychology,true,false,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/acp.3388,85041688594,10.1002/acp.3388,Interpreters in law enforcement contexts: Practices and experiences according to investigators,2018,Applied Cognitive Psychology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/acp.3558,85065960094,10.1002/acp.3558,Does text–picture integration also occur with longer text segments?,2019,Applied Cognitive Psychology,true,false,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/acp.3612,85074579244,10.1002/acp.3612,Mock juror's perceptions of a child witness passing or failing a truth and lies discussion or promising to tell the truth,2020,Applied Cognitive Psychology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/acp.3709,85088799859,10.1002/acp.3709,Truthiness and law: Nonprobative photos bias perceived credibility in forensic contexts,2020,Applied Cognitive Psychology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/acp.3818,85103156744,10.1002/acp.3818,"The continued influence effect: Examining how age, retraction, and delay impact inferential reasoning",2021,Applied Cognitive Psychology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/acp.3853,85107955398,10.1002/acp.3853,"One perpetrator, two perpetrators: The effect of multiple perpetrators on eyewitness identification",2021,Applied Cognitive Psychology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/acp.3857,85112284011,10.1002/acp.3857,Does depicting consequences of actions in narratives bolster the formation of propositional beliefs? First results from an experimental approach,2021,Applied Cognitive Psychology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/acp.3939,85129124284,10.1002/acp.3939,"The continued influence effect: Examining how age, retraction, and delay impact inferential reasoning",2022,Applied Cognitive Psychology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/acp.4024,85144354792,10.1002/acp.4024,On shame and the perceived credibility of sexual assault allegations,2023,Applied Cognitive Psychology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/acp.4030,85145051048,10.1002/acp.4030,Juveniles and adults differ in their beliefs about cues to deception and strategies during a hypothetical police interview,2023,Applied Cognitive Psychology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/acp.4036,85146124386,10.1002/acp.4036,What is the optimal position of low-frequency words across line boundaries? An eye movement investigation,2023,Applied Cognitive Psychology,true,false,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/acp.4061,85152015624,10.1002/acp.4061,Schematic expectations influence mock jurors' sexual violence case fact recognition,2023,Applied Cognitive Psychology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/acp.70019,85215525746,10.1002/acp.70019,The Effect of Fake News on Memory for True Events,2025,Applied Cognitive Psychology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/acp.70030,85218354343,10.1002/acp.70030,Verbal and Numeric Eyewitness Confidence Differentially Affect Decision-Making,2025,Applied Cognitive Psychology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/acp.70097,105010611761,10.1002/acp.70097,Drunken Speech: The Impact of Dialect and Alcohol Intoxication on Mock Juror Perceptions of Sexual Assault Victims,2025,Applied Cognitive Psychology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/acp.70107,105018620369,10.1002/acp.70107,Effects of Jury Warnings on Perceptions of Eyewitness Credibility and Defendant Guilt,2025,Applied Cognitive Psychology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/acp.70231,105040995029,10.1002/acp.70231,"Framing the Past, Shaping the Future: The Role of Political Identity and Media Bias in Collective Memories and Future Thoughts",2026,Applied Cognitive Psychology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/acr.25405,85201623800,10.1002/acr.25405,"Misdiagnosis, Missed Diagnosis, and Delayed Diagnosis of Lupus: A Qualitative Study of Rheumatologists",2024,Arthritis Care and Research,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/acr2.11513,85142911290,10.1002/acr2.11513,Effect of Information Content and General Practitioner Recommendation to Exercise on Treatment Beliefs and Intentions for Knee Osteoarthritis: An Online Multi-Arm Randomized Controlled Trial,2023,Acr Open Rheumatology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/acr2.11573,85163106194,10.1002/acr2.11573,Biologics Initiation in Rheumatoid Arthritis by Race and Ethnicity: Results From a Randomized Survey Study,2023,Acr Open Rheumatology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/acr2.70082,105013484489,10.1002/acr2.70082,"Racial Implicit Bias, Treatment Recommendations, and Perceived Compliance in the Care of Juvenile Idiopathic Arthritis",2025,Acr Open Rheumatology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/adfm.201302631,84897615862,10.1002/adfm.201302631,Nitrogen-doped Mesoporous carbon promoted chemical adsorption of sulfur and fabrication of high-Areal-capacity sulfur cathode with exceptional cycling stability for lithium-sulfur batteries,2014,Advanced Functional Materials,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/aepp.13267,85128093363,10.1002/aepp.13267,Preferences for sustainability and supply chain worker conditions: Evidence during COVID-19,2022,Applied Economic Perspectives and Policy,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/aepp.13490,85212284360,10.1002/aepp.13490,Students' evaluations of teaching and grades in university agricultural programs: A tale of two countries,2025,Applied Economic Perspectives and Policy,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/aepp.70098,105042589389,10.1002/aepp.70098,Promoting Healthier Drinking: Evidence From a Vignette Experiment on Contextual and Informational Drivers of Dealcoholized Wine Choices,2026,Applied Economic Perspectives and Policy,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/ajcp.12533,85110359502,10.1002/ajcp.12533,Examining Support for University-to-Police Reporting Policies for Sexual Assault: The Role of Survivors’ Consent,2021,American Journal of Community Psychology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/ajmg.a.37460,84956844791,10.1002/ajmg.a.37460,Non-invasive prenatal screening for trisomy 21: Consumers' perspectives,2016,American Journal of Medical Genetics Part A,true,true,unclear,metadata,false,,false,false,Randomized mock medical-news articles precede hypothetical testing decisions and attitude questions.,1,75703d6e2994522ae5ef,false
doi:10.1002/ajmg.a.64166,105009876071,10.1002/ajmg.a.64166,Exploring Pediatricians’ Implicit Bias Related to Newborns’ Intellectual Disability Risk: Merged Vignette and Implicit Association Test (IAT) Results,2025,American Journal of Medical Genetics Part A,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/alz.71371,105041458788,10.1002/alz.71371,Cognitive status moderates long-term benefits of non-pharmacological insomnia therapy in older adults: A secondary analysis of a randomized clinical trial,2026,Alzheimer S and Dementia,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/anie.6900818,105046975181,10.1002/anie.6900818,Solid-Phase Engineered Metal-Free Carbonized Polymer Dots With Auto-Generated Rigid Amorphous Network Enabled High-Temperature Liquid-Phase Phosphorescence,2026,Angewandte Chemie International Edition,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/asi.23167,84938687610,10.1002/asi.23167,Personalizing news content: An experimental study,2015,Journal of the Association for Information Science and Technology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/asi.23904,85029612266,10.1002/asi.23904,Temporal dynamics of eye-tracking and EEG during reading and relevance decisions,2017,Journal of the Association for Information Science and Technology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/asi.24445,85099821314,10.1002/asi.24445,"Conjoint analysis of researchers' hidden preferences for bibliometrics, altmetrics, and usage metrics",2021,Journal of the Association for Information Science and Technology,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/bdm.1789,84890370318,10.1002/bdm.1789,Perceived Utility (not Sympathy) Mediates the Proportion Dominance Effect in Helping Decisions,2014,Journal of Behavioral Decision Making,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/bdm.1833,84920126795,10.1002/bdm.1833,The Impact of Depression on Self-Other Discrepancies in Decision Making,2015,Journal of Behavioral Decision Making,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/bdm.2067,85048829489,10.1002/bdm.2067,The Role of Attention in Attribute Framing,2018,Journal of Behavioral Decision Making,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/bdm.2197,85087164039,10.1002/bdm.2197,Timing of descriptions shapes experience-based risky choice,2021,Journal of Behavioral Decision Making,true,false,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/bdm.2279,85126285760,10.1002/bdm.2279,"Wait, did I do that? Effects of previous decisions on moral decision-making",2022,Journal of Behavioral Decision Making,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/bdm.70064,105027144683,10.1002/bdm.70064,Who Is Afraid of the Pink Elephant? Evidence on (Not) Ignoring Inadmissible Evidence and Debiasing Interventions,2026,Journal of Behavioral Decision Making,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/bdm.70079,105034612665,10.1002/bdm.70079,"The Intricate Nature of Evaluability: How Attribute Framing, Magnitude, and Reference Point Moderate Calibration and Bias",2026,Journal of Behavioral Decision Making,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/brb3.2361,85116972333,10.1002/brb3.2361,Network-based rTMS to modulate working memory: The difficult choice of effective parameters for online interventions,2021,Brain and Behavior,true,false,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/bsl.1014,81355149331,10.1002/bsl.1014,Voluntary Consent in Correctional Settings: Do Offenders Feel Coerced to Participate in Research?,2011,Behavioral Sciences and the Law,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/bsl.2214,84959557715,10.1002/bsl.2214,"Attorney Questions Predict Jury-eligible Adult Assessments of Attorneys, Child Witnesses, and Defendant Guilt",2016,Behavioral Sciences and the Law,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/bsl.2377,85054599752,10.1002/bsl.2377,Life-sentenced juveniles: Public perceptions of risk and need for incarceration,2018,Behavioral Sciences and the Law,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/bsl.2388,85057293626,10.1002/bsl.2388,Justice at any cost? The impact of cost–benefit salience on criminal punishment judgments,2019,Behavioral Sciences and the Law,true,true,unclear,metadata,false,,false,false,Undergraduate participants without country.,1,edf01524f6bfa7787639,false
doi:10.1002/bsl.2398,85060881713,10.1002/bsl.2398,How confession characteristics impact juror perceptions of evidence in criminal trials,2019,Behavioral Sciences and the Law,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/bsl.2588,85135967983,10.1002/bsl.2588,A jury of scientists: Formal education in biobehavioral sciences reduces the odds of punitive criminal sentencing,2022,Behavioral Sciences and the Law,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/bsl.2595,85138630086,10.1002/bsl.2595,Post break-up stalking: Police-officers' perceptions,2022,Behavioral Sciences and the Law,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/bsl.70039,105027850338,10.1002/bsl.70039,"Comparing the Convenience, Data Quality, Generalizability, and Outcomes of Student- and MTurk-Generated Data in an Experimental Vignette Rape Perception Study",2026,Behavioral Sciences and the Law,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/bsl.70047,105029103304,10.1002/bsl.70047,Trauma Mitigating in Emerging Adult Sentencing? An Experimental Examination of the Influence of Homicide Defendants' Age and Biopsychosocial Factors on the Public's Punitiveness,2026,Behavioral Sciences and the Law,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/bsl.70050,105030722444,10.1002/bsl.70050,Effect of Rape Myth Acceptance and Empathy Priming on Juror Decisions in a Mock Sexual Assault Trial,2026,Behavioral Sciences and the Law,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
doi:10.1002/bsl.901,77955678399,10.1002/bsl.901,"The Effects of gender, family status, and race on sentencing decisions",2010,Behavioral Sciences and the Law,true,true,unreviewed,unreviewed,false,,false,false,No validated geography review available.,0,,false
