queue_position,batch,scopus_id,suggested_filename,title,year,journal,doi,article_url,credited_authids,credited_researchers,n_credited_researchers,rationale,question,requested_evidence,local_pdf_available,local_filenames,download_status,open_access_status,open_access_note,needed_material,fulltext_review_note,manual_download_url,acquired_from_url,top50_us_tied_pairs_separated_if_us,top50_total_ties_differentiated_if_us,distinct_tied_pairs_separated_if_us,new_top50_us_tied_pairs_if_us,potential_priority_weight,us_positive_scenario,manual_retrieval_status,manual_retrieval_note,new_pair_coverage_in_batch,tie_priority_position,tie_priority_batch
87,9,85095133927,85095133927.pdf,When Is Retaliation Respected? Status and Vengefulness in Intergroup and Interpersonal Contexts,2020,Socius,10.1177/2378023120967199,https://doi.org/10.1177/2378023120967199,55636964600,Long Doan,1,The online conflict-status experiments do not locate their respondents.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,gold,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://journals.sagepub.com/doi/pdf/10.1177/2378023120967199,,7,0,7,13,0.33035714,"Long Doan: US 6→7, rank 32→19",,,5,27,3
90,9,85135349631,85135349631.pdf,You and Whose Army? How Civilian Leaders Leverage the Military’s Prestige to Shape Public Opinion,2022,Journal of Politics,10.1086/718355,https://doi.org/10.1086/718355,57188971604,Sarah R. Maxey,1,Available metadata does not locate the experimental sample.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1086/718355,,5,0,5,8,0.15263158,"Sarah R. Maxey: US 5→6, rank 40→32",,,5,28,3
68,7,85172009271,85172009271.pdf,Does scientific research change minds? Linking criminology and public perceptions of policing,2024,Criminology and Public Policy,10.1111/1745-9133.12644,https://doi.org/10.1111/1745-9133.12644,57211410814,Hunter M. Boehme,1,Available metadata does not locate the experimental sample.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,hybrid,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1745-9133.12644,,6,3,6,6,0.13043478,"Hunter M. Boehme: US 4→5, rank 46→40",,,5,29,3
80,8,85019003064,85019003064.pdf,Legitimacy from Decision-Making Influence and Outcome Favourability: Results from General Population Survey Experiments,2017,Political Studies,10.1177/0032321716667956,https://doi.org/10.1177/0032321716667956,50861069700,Sveinung Arnesen,1,Decision-making experiments without country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,bronze,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://journals.sagepub.com/doi/pdf/10.1177/0032321716667956,,0,5,5,0,0.10638298,"Sveinung Arnesen: US 0→1, rank 84→73",,,5,30,3
12,2,85096111198,85096111198.pdf,Evidence of an Output Bias in the Judgment of Public Performance: A Replication and Extension,2021,Public Performance and Management Review,10.1080/15309576.2020.1835679,https://doi.org/10.1080/15309576.2020.1835679,7003787305,Gregg G. Van Ryzin,1,Programme examples without country; name of intervention alone insufficient.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1080/15309576.2020.1835679,,12,1,12,7,1.71428571,"Gregg G. Van Ryzin: US 7→8, rank 19→12",,,12,31,4
44,5,105046220290,105046220290.pdf,Partisanship and Voting Rule Trade-offs,2026,American Politics Research,10.1177/1532673X261470402,https://doi.org/10.1177/1532673X261470402,35745930100,David Doherty,1,Available metadata does not locate the experimental sample.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,bronze,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://journals.sagepub.com/doi/pdf/10.1177/1532673X261470402?download=true,,12,2,12,7,0.81203008,"David Doherty: US 7→8, rank 19→12",,,11,32,4
16,2,85044032298,85044032298.pdf,Legitimate authorities and rational taxpayers: An investigation of voluntary compliance and method effects in a survey experiment of income tax evasion,2018,Rationality and Society,10.1177/1043463118759671,https://doi.org/10.1177/1043463118759671,36775562800,Blaine G. Robbins,1,University undergraduates without sample country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1177/1043463118759671,,7,0,7,13,1.0,"Blaine G. Robbins: US 6→7, rank 32→19",,,7,33,4
59,6,85099984460,85099984460.pdf,When Unfamiliarity Breeds Contempt: How Partisan Selective Exposure Sustains Oppositional Media Hostility,2021,American Political Science Review,10.1017/S0003055420001124,https://doi.org/10.1017/S0003055420001124,55612017400,Erik Peterson,1,Partisan media without named parties or country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1017/S0003055420001124,,7,1,7,13,0.33035714,"Erik Peterson: US 6→7, rank 32→19",,,6,34,4
69,7,85196196052,85196196052.pdf,"Does the public want the police to stop, stopping? An experimental look at the impact of outcome data on public perceptions of police discretionary traffic stops",2025,Journal of Experimental Criminology,10.1007/s11292-024-09625-w,https://doi.org/10.1007/s11292-024-09625-w,57211410814,Hunter M. Boehme,1,Available metadata does not locate the experimental sample.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,hybrid,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://doi.org/10.1007/s11292-024-09625-w,,6,3,6,6,0.13043478,"Hunter M. Boehme: US 4→5, rank 46→40",,,6,35,4
88,9,85100751141,85100751141.pdf,Private Eyes in the Sky: Emerging Technology and the Political Consequences of Eroding Government Secrecy,2021,Journal of Conflict Resolution,10.1177/0022002720987285,https://doi.org/10.1177/0022002720987285,23479932300,Erik Lin-Greenberg,1,Available metadata does not locate the experimental sample.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,green,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3745737,,7,0,7,13,0.33035714,"Erik Lin-Greenberg: US 6→7, rank 32→19",,,5,36,4
91,10,85177488077,85177488077.pdf,How membership in the North Atlantic Treaty Organization transforms public support for war,2023,Pnas Nexus,10.1093/pnasnexus/pgad206,https://doi.org/10.1093/pnasnexus/pgad206,6505910383,Michael Tomz,1,Thirteen NATO member countries are not listed; US participation cannot be assumed.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,gold,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://academic.oup.com/pnasnexus/article-pdf/2/7/pgad206/50789652/pgad206.pdf,,5,0,5,8,0.15263158,"Michael Tomz: US 5→6, rank 40→32",,,5,37,4
81,9,85024131036,85024131036.pdf,First Equals Most Important? Order Effects in Vignette-Based Measurement,2017,Sociological Methods and Research,10.1177/0049124115591016,https://doi.org/10.1177/0049124115591016,17345075500,Katrin Auspurg,1,The student sample's country is unspecified.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1177/0049124115591016,,0,5,5,0,0.10638298,"Katrin Auspurg: US 0→1, rank 84→73",,,5,38,4
36,4,85012118612,85012118612.pdf,The conditional nature of the local warming effect,2017,Weather Climate and Society,10.1175/WCAS-D-16-0012.1,https://doi.org/10.1175/WCAS-D-16-0012.1,6603696960,James N. Druckman,1,No country-specific sampling information.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1175/WCAS-D-16-0012.1,,4,2,4,0,1.0,"James N. Druckman: US 10→11, rank 4→4",,,4,39,4
67,7,85125280963,85125280963.pdf,Do Belief Systems Exhibit Dynamic Constraint?,2022,Journal of Politics,10.1086/716294,https://doi.org/10.1086/716294,56590030100,Alexander Coppock,1,Available metadata does not locate the experimental sample.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1086/716294,,7,0,7,13,0.33035714,"Alexander Coppock: US 6→7, rank 32→19",,,4,40,4
17,2,85066959974,85066959974.pdf,Measuring Generalized Trust: Two New Approaches,2022,Sociological Methods and Research,10.1177/0049124119852371,https://doi.org/10.1177/0049124119852371,36775562800,Blaine G. Robbins,1,Qualtrics panel without country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1177/0049124119852371,,7,0,7,13,1.0,"Blaine G. Robbins: US 6→7, rank 32→19",,,7,41,5
89,9,85143607111,85143607111.pdf,Can Light Contact with the Police Motivate Political Participation? Evidence from Traffic Stops,2022,Journal of Race Ethnicity and Politics,10.1017/rep.2022.18,https://doi.org/10.1017/rep.2022.18,55175754800,Leah Christiani,1,Available metadata does not locate the experimental sample.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1017/rep.2022.18,,7,0,7,13,0.33035714,"Leah Christiani: US 6→7, rank 32→19",,,6,42,5
70,7,105021850455,105021850455.pdf,Assessing Public Support of Gunshot Detection Technology Through a Framing Survey Experiment,2025,Crime and Delinquency,10.1177/00111287251384656,https://doi.org/10.1177/00111287251384656,57211410814,Hunter M. Boehme,1,Available metadata does not locate the experimental sample.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,hybrid,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://doi.org/10.1177/00111287251384656,,6,3,6,6,0.13043478,"Hunter M. Boehme: US 4→5, rank 46→40",,,6,43,5
92,10,105000168854,105000168854.pdf,Assessing the Impact of Informational Interventions on Perceptions of School Quality,2025,American Educational Research Journal,10.3102/00028312251315740,https://doi.org/10.3102/00028312251315740,57220203816,Kaylyn Jackson Schiff,1,Available metadata does not locate the experimental sample.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.3102/00028312251315740,,5,0,5,8,0.15263158,"Kaylyn Jackson Schiff: US 5→6, rank 40→32",,,5,44,5
82,9,85041497842,85041497842.pdf,Do Polls Influence Opinions? Investigating Poll Feedback Loops Using the Novel Dynamic Response Feedback Experimental Procedure,2018,Social Science Computer Review,10.1177/0894439317731721,https://doi.org/10.1177/0894439317731721,50861069700,Sveinung Arnesen,1,Probability online panel without country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,hybrid,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://journals.sagepub.com/doi/pdf/10.1177/0894439317731721,,0,5,5,0,0.10638298,"Sveinung Arnesen: US 0→1, rank 84→73",,,5,45,5
21,3,85062719018,85062719018.pdf,Counteracting Climate Science Politicization With Effective Frames and Imagery,2019,Science Communication,10.1177/1075547019834565,https://doi.org/10.1177/1075547019834565,12794521600,Toby Bolsen,1,Climate change experiment without country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,green,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://scholarworks.gsu.edu/urban_studies_institute/51,,4,0,4,0,1.0,"Toby Bolsen: US 10→11, rank 4→4",,,4,46,5
