scopus_id,doi,title,journal,year
84962168128,10.1111/ijcs.12264,"Consumers' willingness to pay for conventional, organic and functional yogurt: Evidence from experimental auctions",International Journal of Consumer Studies,2016
84963679509,10.1177/0049124115582269,The Factorial Survey: Design Selection and its Impact on Reliability and Internal Validity,Sociological Methods and Research,2016
84963951597,10.1016/j.ecolecon.2016.03.008,Modeling individual preferences for energy sources: The case of IV generation nuclear energy in Italy,Ecological Economics,2016
84971454036,10.1111/jep.12559,Does resuscitation status affect decision making in a deteriorating patient? Results from a randomised vignette study,Journal of Evaluation in Clinical Practice,2016
84971483789,10.1016/j.socscimed.2016.05.039,The influence of patients' immigration background and residence permit status on treatment decisions in health care. Results of a factorial survey among general practitioners in Switzerland,Social Science and Medicine,2016
84973449015,10.1016/j.ecolecon.2016.05.010,The role of public information in increasing homebuyers' willingness-to-pay for green housing: Evidence from Beijing,Ecological Economics,2016
84975048512,10.1515/zfsoz-2015-1005,You can take some of it with you!,Zeitschrift Fur Soziologie,2016
84975229285,10.1080/0163853X.2015.1136507,Identity and Epistemic Emotions During Knowledge Revision: A Potential Account for the Backfire Effect,Discourse Processes,2016
84978383963,10.1162/REST_a_00499,The price is right: Updating inflation expectations in arandomized price information experiment,Review of Economics and Statistics,2016
84978511640,10.1080/10810730.2016.1177147,"Narrator Point of View and Persuasion in Health Narratives: The Role of Protagonist–Reader Similarity, Identification, and Self-Referencing",Journal of Health Communication,2016
84978833033,10.1007/s11577-016-0361-x,Who is welcome in Germany?: A Vignette Study on the Acceptance of Immigrants,Kolner Zeitschrift Fur Soziologie Und Sozialpsychologie,2016
84978962251,10.1080/10511253.2016.1203010,Cheating Behaviors among Undergraduate College Students: Results from a Factorial Survey,Journal of Criminal Justice Education,2017
84983778266,10.1177/0164027515600767,Feasibility of the Factorial Survey Method in Aging Research: Consistency Effects Among Older Respondents,Research on Aging,2016
84985028951,10.1007/s11577-016-0369-2,How do “Subcultures of Violence” lead to violence? The interplay of internalization and prevalence of norms legitimizing violence in the explanation of youth violence,Kolner Zeitschrift Fur Soziologie Und Sozialpsychologie,2016
84986207506,10.1177/1077699015610064,News content about mass shootings and attitudes toward mental illness,Journalism and Mass Communication Quarterly,2016
84992126211,10.1016/j.rssm.2016.08.001,Institutional constraints and the translation of college aspirations into intentions—Evidence from a factorial survey,Research in Social Stratification and Mobility,2016
84994219824,10.1016/j.gloenvcha.2016.10.003,Climate visuals: A mixed methods investigation of public perceptions of climate images in three countries,Global Environmental Change,2016
84994637505,10.1111/1467-9477.12074,Measuring Issue Ownership: A Comparative Question Wording Experiment,Scandinavian Political Studies,2017
84994731782,10.1007/s00228-016-2159-1,Improved participants’ understanding of research information in real settings using the SIDCER informed consent form: a randomized-controlled informed consent study nested with eight clinical trials,European Journal of Clinical Pharmacology,2017
84996508831,10.1016/j.foodcont.2016.08.017,Perceived barriers to food packaging recycling: Evidence from a choice experiment of US consumers,Food Control,2017
84996551478,10.1007/s11577-016-0389-y,Accepting retaliation in the workplace: findings from a quasi-experimental investigation,Kolner Zeitschrift Fur Soziologie Und Sozialpsychologie,2016
85003010167,10.1016/j.foodpol.2016.11.008,Consumer preferences before and after a food safety scare: An experimental analysis of the 2010 egg recall,Food Policy,2017
85011589624,10.1080/07448481.2016.1278376,The use of vignettes to empower effective responses to attempted sexual assault,Journal of American College Health,2017
85011693962,10.1371/journal.pone.0171251,Patient factors that influence clinicians' decision making in self-management support: A clinical vignette study,Plos One,2017
85013191448,10.1016/j.ajic.2016.12.024,Acute care nurses’ responses and recommendations for improvement of hand hygiene compliance: A cross-sectional factorial survey research study,American Journal of Infection Control,2017
85014649599,10.1111/ajps.12298,Mobilizing the Public Against the President: Congress and the Political Costs of Unilateral Action,American Journal of Political Science,2017
85014865027,10.1002/mar.20997,Pride in technology-based health interventions: A double-edged sword,Psychology and Marketing,2017
85018283168,10.1108/PIJPSM-03-2016-0030,Policing juveniles in rural communities: Determinants of officer authoritative and supportive behavior,Policing,2017
85019066477,10.1111/medu.13275,Effects of medical trainees’ weight-loss history on perceptions of patients with obesity,Medical Education,2017
85019545782,10.1111/sltb.12355,"Media Reporting on Suicide: Evaluating the Effects of Including Preventative Resources and Psychoeducational Information on Suicide Risk, Attitudes, Knowledge, and Help-Seeking Behaviors",Suicide and Life Threatening Behavior,2018
85019814077,10.1177/1557988316643316,Men’s Preferences for Physical Activity Interventions: An Exploratory Study Using a Factorial Survey Design Created With R Software,American Journal of Men S Health,2018
85019942117,10.15288/jsad.2017.78.415,Public stigma toward people with drug addiction: A factorial survey,Journal of Studies on Alcohol and Drugs,2017
85020961104,10.1093/isq/sqv024,"Selecting partner countries for preferential trade agreements: Experimental evidence from Costa Rica, Nicaragua, and Vietnam",International Studies Quarterly,2016
85022219255,10.1186/s12913-017-2394-x,"Psychological, situational and application-related determinants of the intention to self-test: A factorial survey among students",BMC Health Services Research,2017
85024131036,10.1177/0049124115591016,First Equals Most Important? Order Effects in Vignette-Based Measurement,Sociological Methods and Research,2017
85024397757,10.1080/13669877.2017.1351470,"Genetic engineering, genetic modification, or agricultural biotechnology: does the term matter?",Journal of Risk Research,2019
85026401204,10.1080/1369118X.2017.1356861,The effect of comment moderation on perceived bias in science news,Information Communication and Society,2019
85026474357,10.1016/j.jebo.2017.07.023,Addressing empirical challenges related to the incentive compatibility of stated preferences methods,Journal of Economic Behavior and Organization,2017
85026551749,10.1080/10810730.2017.1341568,"Persuasive Effects of Point of View, Protagonist Competence, and Similarity in a Health Narrative About Type 2 Diabetes",Journal of Health Communication,2017
85027187332,10.1186/s12888-017-1447-3,Correct recognition and continuum belief of mental disorders in a nursing student population,BMC Psychiatry,2017
85027420513,10.1177/0002764217717560,A Factorial Survey Study on the Influence of Advertising Place and the Use of Personal Data on User Acceptance of Facebook Ads,American Behavioral Scientist,2017
85027928943,10.1080/10410236.2014.979975,Heteronormativity and practitioner–patient interaction,Health Communication,2016
85028344610,10.1111/1745-9133.12311,Public Support for Emergency Shelter Housing Interventions Concerning Stigmatized Populations: Results From a Factorial Survey,Criminology and Public Policy,2017
85028360161,10.1016/j.tele.2017.08.006,"Determinants of the intention to use Buy-Online, Pickup In-Store (BOPS): The moderating effects of situational factors and product type",Telematics and Informatics,2017
85028558428,10.1080/1478601X.2017.1364640,The integrity of the game: exploring attitudes of professional male athlete criminality#,Criminal Justice Studies,2017
85032020748,10.1057/s41309-016-0001-x,Assessing citizen views of interest group alliances,Interest Groups and Advocacy,2016
85032820440,10.1215/03616878-4193606,Partisan responses to public health messages: Motivated reasoning and sugary drink taxes,Journal of Health Politics Policy and Law,2017
85033213465,10.1080/07421222.2017.1373012,Using IT Design to Prevent Cyberbullying,Journal of Management Information Systems,2017
85034756014,10.1016/j.jpubeco.2017.11.002,Intended college attendance: Evidence from an experiment on college returns and costs,Journal of Public Economics,2018
85037607239,10.1177/0007650316645337,Tackling Complexity in Business and Society Research: The Methodological and Thematic Potential of Factorial Surveys,Business and Society,2018
85037701666,10.1080/01639625.2017.1411046,"“Violent propensity, strain, and violent intentions: a test of Agnew’s revised conditioning hypothesis”",Deviant Behavior,2019
85037982397,10.1080/10410236.2017.1407275,Just a Spoonful of Sugar Helps the Messages Go Down: Using Stories and Vicarious Self-Affirmation to Reduce e-Cigarette Use,Health Communication,2019
85038883603,10.1016/j.jclepro.2017.02.042,Perceptions and valuation of GM food: A study on the impact and importance of information provision,Journal of Cleaner Production,2018
85040059095,10.1016/j.psychres.2017.12.064,Public stigma of prolonged grief disorder: An experimental study,Psychiatry Research,2018
85040071418,10.1371/journal.pone.0190671,Public opinion towards castration without anaesthesia and lack of access to pasture in beef cattle production,Plos One,2018
85041003403,10.1007/s11606-017-4289-2,Do Words Matter? Stigmatizing Language and the Transmission of Bias in the Medical Record,Journal of General Internal Medicine,2018
85041214122,10.1073/pnas.1711293115,Local policy proposals can bridge Latino and (most) white Americans’ response to immigration,Proceedings of the National Academy of Sciences of the United States of America,2018
85041221626,10.1080/01639625.2018.1432683,“Can I take out my penis?” Navigating Sex and Intimacy in the Workplace: An Empirical Test of Black’s Theory of Conflict,Deviant Behavior,2019
85042092771,10.1136/bmjopen-2017-018355,Influence of overstated abstract conclusions on clinicians: A web-based randomised controlled trial,BMJ Open,2017
85042398288,10.17705/1CAIS.04208,Ranking factors by importance in factorial survey analysis,Communications of the Association for Information Systems,2018
85042566118,10.1111/puar.12824,Never Change a Winning Policy? Public Sector Performance and Politicians' Preferences for Reforms,Public Administration Review,2018
85042933726,10.1080/10810730.2018.1443526,An Experimental Test of the Two-Dimensional Theory of Cultural Sensitivity in Health Communication,Journal of Health Communication,2018
85044627813,10.1093/abm/kax009,Enhancing health message framing with metaphor and cultural values: Impact On latinas' cervical cancer screening,Annals of Behavioral Medicine,2018
85044969206,10.1111/lapo.12100,Examining Procedural Justice and Legitimacy in Corporate Offending and Beyond-Compliance Behavior: The Efficacy of Direct and Indirect Regulatory Interactions,Law and Policy,2018
85045123142,10.1080/1369183X.2018.1459183,‘Refugees welcome?’ The interplay between perceived threats and general concerns on the acceptance of refugees–a factorial survey approach in Germany,Journal of Ethnic and Migration Studies,2019
85045387324,10.1016/j.jbusres.2018.03.036,Entrepreneurs' propensity for corruption: A vignette-based factorial survey,Journal of Business Research,2018
85047169670,10.1016/j.gloenvcha.2018.05.004,Climate change as a polarizing cue: Framing effects on public support for low-carbon energy policies,Global Environmental Change,2018
85047404230,10.1177/0022042618770632,Perceived Risk of Emerging Recreational Drugs: Impact of Anecdotal and Statistical Evidence,Journal of Drug Issues,2018
85047503003,10.1027/1864-1105/a000232,How Media Portrayals of Suffering Influence Willingness to Help: The Role of Solvability Frames,Journal of Media Psychology,2019
85048079880,10.1080/00913367.2018.1466219,Entitativity of Concurrent Sponsors: Implications for Properties and Sponsors,Journal of Advertising,2018
85049867952,10.1177/0886260518787814,Perceptions of Same-Gender and Different-Gender Intimate Partner Cyber-Monitoring,Journal of Interpersonal Violence,2021
85052081065,10.1080/01488376.2018.1479337,Substance Use Decision-Making–Are Clinicians Using the Evidence?,Journal of Social Service Research,2019
85052495954,10.1002/soej.12306,Household Informedness and Long-Run Inflation Expectations: Experimental Evidence,Southern Economic Journal,2018
85053519754,10.1177/0738894217697458,Supplying protection: The United Nations and public support for humanitarian intervention,Conflict Management and Peace Science,2019
85054078172,10.1086/698758,Voter reactions to incumbent opportunism,Journal of Politics,2018
85054187259,10.1016/j.chiabu.2018.09.012,Reunification in foster care: Influences on decision-making,Child Abuse and Neglect,2018
85054333858,10.1093/esr/jcy022,"The role of perceived benefits, costs, and probability of success in students' plans for higher education. A quasi-experimental test of rational choice theory",European Sociological Review,2018
85055163621,10.1111/ssqu.12539,Deserving a Just Pension: A Factorial Survey Approach*,Social Science Quarterly,2019
85056112905,10.1186/s12888-018-1932-3,Direct and moderating effects of personality on stigma towards mental illness,BMC Psychiatry,2018
85057214997,10.1016/j.tele.2018.11.001,"Social media hoaxes, political ideology, and the role of issue confidence",Telematics and Informatics,2019
85058090804,10.1017/S1478951518000834,Evidence of palliative care stigma: The role of negative stereotypes in preventing willingness to use palliative care,Palliative and Supportive Care,2019
85058126769,10.1108/OIR-09-2016-0254,Investigation of electronic-word-of-mouth on online social networking sites written by authors with commercial interest,Online Information Review,2019
85058384161,10.1016/j.ssresearch.2018.10.013,How impartial are the observers of justice theory?,Social Science Research,2019
85058398410,10.1177/2153368718797168,Punitiveness and Perceptions of Criminality: An Examination of Attitudes Toward Immigrant Offenders,Race and Justice,2021
85058732702,10.4088/JCP.17m11975,Effect of educative suicide prevention news articles featuring experts with vs without personal experience of suicidal ideation: A randomized controlled trial of the papageno effect,Journal of Clinical Psychiatry,2019
85058987092,10.1007/s10551-018-4094-9,Coping with Favoritism in Recruitment and Selection: A Communal Perspective,Journal of Business Ethics,2020
85059852315,10.1016/j.enpol.2018.12.034,Public opinion toward hydraulic fracturing: The effect of beyond compliance and voluntary third-party certification,Energy Policy,2019
85059935468,10.1177/0950017018809897,The Hiring Prospects of Foreign-Educated Immigrants: A Factorial Survey among German Employers,Work Employment and Society,2019
85060230594,10.1177/1077699018815890,Journalistic Views on Hard and Soft News: Cross-Validating a Popular Concept in a Factorial Survey,Journalism and Mass Communication Quarterly,2019
85060336598,10.2196/mhealth.9981,Mhealth supportive care intervention for parents of children with acute lymphoblastic leukemia: Quasi-experimental pre- and postdesign study,Jmir Mhealth and Uhealth,2018
85061987731,10.1093/ijpor/edx019,Gender gaps in the measurement of public opinion about homosexuality in cross-national surveys: A question-wording experiment,International Journal of Public Opinion Research,2018
85062042874,10.1080/13669877.2019.1569096,How do incentives influence local public support for the siting of shale gas projects in China?,Journal of Risk Research,2020
85062364613,10.1080/15456870.2019.1574794,Listicles and the modern news article: comparing the perceived credibility of listicles and traditional articles among millennial media consumers,Atlantic Journal of Communication,2019
85062524345,10.1177/0963662519832200,Disgusting microbes: The effect of disgust on perceptions of risks related to modifying microbiomes,Public Understanding of Science,2019
85063030326,10.1177/0193841X19834968,Speaking on Data’s Behalf: What Researchers Say and How Audiences Choose,Evaluation Review,2020
85063144912,10.1080/00221546.2019.1574542,Understanding How Information Affects Loan Aversion: A Randomized Control Trial of Providing Federal Loan Information to High School Seniors,Journal of Higher Education,2019
85063235884,10.1002/wmh3.290,Continuing Medical Education and the Marketing of Fentanyl for Breakthrough Pain: Marketing Messages in an Industry-Funded CME Module on Breakthrough Pain,World Medical and Health Policy,2019
85063987457,10.1016/j.chb.2019.03.037,When the smartphone goes offline: A factorial survey of smartphone users' experiences of mobile unavailability,Computers in Human Behavior,2019
85064079071,10.1371/journal.pone.0213855,To prescribe or not to prescribe? A factorial survey to explore veterinarians’ decision making when prescribing antimicrobials to sheep and beef farmers in the UK,Plos One,2019
85064639875,10.1016/j.wasman.2019.04.015,Impacts of pecuniary and non-pecuniary information on pro-environmental behavior: A household waste collection and disposal program in Surabaya city,Waste Management,2019
85065039034,10.1080/10852352.2019.1603677,"The impact of content, frame and social identity on the effectiveness of smoking cessation messages in urban young adults",Journal of Prevention and Intervention in the Community,2019
85066069529,10.1016/j.foodpol.2019.05.009,Consumer willingness to pay for food safety interventions: The role of message framing and issue involvement,Food Policy,2019
85066750611,10.1177/0049124117746427,An Evaluation of Experimental Designs for Constructing Vignette Sets in Factorial Surveys,Sociological Methods and Research,2020
85066763238,10.18148/srm/2019.v13i1.7243,Hiding sensitive topics by design? An experiment on the reduction of social desirability bias in factorial surveys,Survey Research Methods,2019
85067171548,10.1017/psrm.2019.12,Voting for the lesser evil: Evidence from a conjoint experiment in Romania,Political Science Research and Methods,2020
85067597084,10.1089/chi.2018.0315,Parental defensiveness about multifactorial genomic and environmental causes of children's obesity risk,Childhood Obesity,2019
85067639704,10.1177/1468017319848889,Professional judgement about re-offending: Factorial survey,Journal of Social Work,2020
85068329473,10.1177/0049124119852382,The Factorial Survey: The Impact of the Presentation Format of Vignettes on Answer Behavior and Processing Time,Sociological Methods and Research,2022
85068381838,10.3389/fpsyg.2019.01022,Internalised weight stigma moderates the impact of a stigmatising prime on eating in the absence of hunger in higher- but not lower-weight individuals,Frontiers in Psychology,2019
85068826704,10.1007/s11292-019-09363-4,"Compliance, noncompliance, and the in-between: causal effects of civilian demeanor on police officers’ cognitions and emotions",Journal of Experimental Criminology,2019
85068905627,10.1111/jcms.12901,The Road to Trust. A Vignette Study on the Determinants of Citizens' Trust in the European Commission,Journal of Common Market Studies,2020
85068933570,10.1080/13510347.2019.1639151,Who are the targets of familial electoral coercion? Evidence from Turkey,Democratization,2019
85069644546,10.1016/j.foodpol.2019.101743,Hen housing system information effects on U.S. egg demand,Food Policy,2019
85070496761,10.1111/1745-9125.12222,Fight or flight: Integral emotions and violent intentions,Criminology,2019
85070720944,10.1111/ajps.12490,Online Tallies and the Context of Politics: How Online Tallies Make Dominant Candidates Appear Competent in Contexts of Conflict,American Journal of Political Science,2020
85072243581,10.1016/j.chb.2019.09.003,I'm just trolling: The role of normative beliefs in aggressive behaviour in online gaming,Computers in Human Behavior,2020
85073022198,10.1016/j.pec.2019.09.026,"The effect of different styles of medical illustration on information comprehension, the perception of educational material and illness beliefs",Patient Education and Counseling,2020
85073817746,10.1080/10810730.2019.1664676,Cognitive and Affective Responses to Mass-media Based Genetic Risk Information in a Socio-demographically Diverse Sample of Smokers,Journal of Health Communication,2019
85073973025,10.1108/EDI-12-2018-0222,High-profile sexual misconduct media triggers sex harassment recall and reinterpretation,Equality Diversity and Inclusion,2020
85074161129,10.3389/fpsyg.2019.02272,Badminton Players’ Moral Intentions: A Factorial Survey Study Into Personal and Contextual Determinants,Frontiers in Psychology,2019
85074334678,10.1080/10810730.2019.1651429,Exploring Parents’ Message Receipt and Message Enactment of the World’s First Integrated Movement Behaviour Guidelines for Children and Youth,Journal of Health Communication,2019
85074340877,10.1080/15299732.2019.1675221,Contextual influences on the perception of pregnant women who use drugs: Information about women’s childhood trauma history reduces punitive attitudes,Journal of Trauma and Dissociation,2020
85075308271,10.1111/puar.13118,Why Public Employees Rebel: Guerrilla Government in the Public Sector,Public Administration Review,2020
85075461753,10.1007/s11469-019-00162-6,The Impact of Indigenous Identity and Treatment Seeking Intention on the Stigmatization of Substance Use,International Journal of Mental Health and Addiction,2020
85075480439,10.1080/08946566.2019.1695696,Elder sexual abuse and implicit agism: examining the warm-incompetent bias among mock jurors,Journal of Elder Abuse and Neglect,2020
85075654477,10.1136/bmjopen-2019-029530,Improved parental understanding by an enhanced informed consent form: A randomized controlled study nested in a paediatric drug trial,BMJ Open,2019
85076211905,10.1007/s11109-019-09588-z,"Desperate Times Call for Desperate Measures: Electoral Competitiveness, Poll Position, and Campaign Negativity",Political Behavior,2021
85076876768,10.1161/CIRCGEN.119.002632,Preferences for Return of Genetic Results among Participants in the Jackson Heart Study and Framingham Heart Study,Circulation Genomic and Precision Medicine,2019
85077050163,10.1080/10810730.2019.1697398,Persuasive Effects of Linguistic Agency Assignment and Linguistic Markers of Argumentation in Health Messages about an Emerging Sexually Transmitted Disease,Journal of Health Communication,2020
85077431192,10.1086/707010,"Price and prejudice: an empirical test of financial incentives, altruism, and racial bias",Journal of Legal Studies,2019
85079035015,10.1080/13811118.2020.1715905,"Effects of Exposure to Multiple, Graphic Suicide News Articles on Explicit and Implicit Measures of Suicide Risk",Archives of Suicide Research,2021
85079037666,10.1016/j.pec.2020.02.004,Hierarchy of the main factors predicting the decision to go to the doctor in a general population sample: A factorial survey design,Patient Education and Counseling,2020
85079468153,10.1080/07418825.2019.1707857,Punishing Rampage: Public Opinion on Sanctions for School Shooters,Justice Quarterly,2022
85079603434,10.12758/mda.2017.14,"Behavioral intentions, actual behavior and the role of personality traits. Evidence from a Factorial Survey among Female Labor Market Re-entrants",Methods Data Analyses,2019
85081223679,10.1016/j.poetic.2020.101442,Untangling causal beliefs: A lay theory of happiness determinants using a factorial survey,Poetics,2020
85081260508,10.1080/01639625.2020.1738640,Ethical Decisions between the Conflicting Priorities of Legality and Group Loyalty: Scrutinizing the “Code of Silence” among Volunteer Firefighters with a Vignette-Based Factorial Survey,Deviant Behavior,2021
85082055465,10.1093/qje/qjz029,Inflation Expectations and Firm Decisions: New Causal Evidence,Quarterly Journal of Economics,2020
85083421868,10.2196/16087,Preferences for sun protection with a self-monitoring app: Protocol of a discrete choice experiment study,Jmir Research Protocols,2020
85086355082,10.1186/s12909-020-02100-w,Program on high value cost-conscious education in intensive care: Educational program on prediction of outcome and cost awareness on Intensive Care admission,BMC Medical Education,2020
85087022956,10.1111/puar.13217,How Do Citizens Assess Street-Level Bureaucrats’ Warmth and Competence? A Typology and Test,Public Administration Review,2020
85087363138,10.1007/s11577-020-00682-3,How National Institutions Shape Skilled Immigrants’ Chances of Getting Hired: Evidence from Harmonised Factorial Surveys with Employers in Germany and England,Kolner Zeitschrift Fur Soziologie Und Sozialpsychologie,2020
85087616692,10.3390/ijerph17144984,Countering vaccine hesitancy among pregnant women in england: The case of Boostrix-IPV,International Journal of Environmental Research and Public Health,2020
85089731925,10.1017/S1047951120002243,Health literacy and caregiver understanding in the CHD population,Cardiology in the Young,2020
85090159000,10.1016/j.jdeveco.2020.102534,Informing and inquiring: Experimental evidence on reducing traffic violations,Journal of Development Economics,2020
85091464896,10.1177/2378023117710881,"Agency, Identity, and the Emergence of Ritual Experience",Socius,2017
85092320833,10.1007/s11577-020-00712-0,The Low-Cost-Hypothesis. An Empirical Test Taking the Support for a City Toll as an Example,Kolner Zeitschrift Fur Soziologie Und Sozialpsychologie,2020
85094653113,10.1177/1556264620969327,Parent Ethical Concerns About Patient Feedback Measures to Improve Pediatric Clinical Care,Journal of Empirical Research on Human Research Ethics,2021
85095773124,10.1080/07448481.2020.1841212,Event-specific and individual factors impacting college students’ decisions to intervene in a potentially risky scenario,Journal of American College Health,2022
85096003795,10.1007/s11558-020-09401-1,"Foreign aid, oil revenues, and political accountability: Evidence from six experiments in Ghana and Uganda",Review of International Organizations,2021
85096091363,10.1080/15309576.2020.1818588,Administrative Burdens and Citizen Likelihood to Seek Local Public Services: The Case of Hurricane Shelters,Public Performance and Management Review,2021
85097003678,10.1192/bjp.2019.259,Effects of suicide awareness materials on individuals with recent suicidal ideation or attempt: Online randomised controlled trial,British Journal of Psychiatry,2020
85097503187,10.1177/1049909120979977,Multi-Site Study of Provider Self-Efficacy and Beliefs in Explaining Judgments About Need and Responsibility for Advance Care Planning,American Journal of Hospice and Palliative Medicine,2021
85097535412,10.1177/1556264620981205,Framing a Consent Form to Improve Consent Understanding and Determine How This Affects Willingness to Participate in HIV Cure Research: An Experimental Survey Study,Journal of Empirical Research on Human Research Ethics,2021
85097599267,10.1017/S0033291720005164,"Coronavirus conspiracy beliefs, mistrust, and compliance: taking measurement seriously",Psychological Medicine,2022
85097943165,10.1186/s12889-020-10035-6,"Perceived vulnerability to COVID-19 infection from event attendance: results from Louisiana, USA, two weeks preceding the national emergency declaration",BMC Public Health,2020
85097987004,10.1287/isre.2020.0931,An empirical investigation of the antecedents and consequences of privacy uncertainty in the context of mobile apps,Information Systems Research,2020
85099815645,10.1108/OIR-04-2020-0133,Beyond social media news use algorithms: how political discussion and network heterogeneity clarify incidental news exposure,Online Information Review,2021
85100039866,10.1007/s11292-020-09455-6,Assessing the validity of white-collar crime definitions using experimental survey data,Journal of Experimental Criminology,2022
85100618045,10.1016/j.chiabu.2021.104978,Judgements of health and social care professionals on a child protection referral of an unborn baby: Factorial survey,Child Abuse and Neglect,2021
85102151641,10.1016/j.scitotenv.2021.145791,The effect of information transfer related to soil biodiversity on Flemish citizens' preferences for forest management,Science of the Total Environment,2021
85102434642,10.1371/journal.pone.0247788,Happy or healthy? How members of the public prioritise farm animal health and natural behaviours,Plos One,2021
85102730100,10.1007/s11577-021-00729-z,What keeps women away from job positions? A factorial survey on the influence of the design of a job advertisement on its appeal,Kolner Zeitschrift Fur Soziologie Und Sozialpsychologie,2021
85102990168,10.1007/s11292-021-09462-1,Policing persons in behavioral crises: an experimental test of bystander perceptions of procedural justice,Journal of Experimental Criminology,2022
85103438779,10.1371/journal.pone.0249355,Consumers' decisions to access or avoid added sugars information on the updated Nutrition Facts label,Plos One,2021
85104168488,10.1215/00703370-8932274,You know what i know: Interviewer knowledge effect in subjective expectation elicitation,Demography,2021
85106381843,10.1073/pnas.2103000118,The unintended consequences of US immigration enforcement policies,Proceedings of the National Academy of Sciences of the United States of America,2021
85106481616,10.1080/00036846.2021.1907285,"Profit, morality and discrimination",Applied Economics,2021
85107266949,10.1007/s10640-021-00564-y,Designing Effective and Acceptable Road Pricing Schemes: Evidence from the Geneva Congestion Charge,Environmental and Resource Economics,2021
85107877075,10.1177/19401612211025499,No Gender Bias in Audience Perceptions of Male and Female Experts in the News: Equally Competent and Persuasive,International Journal of Press Politics,2023
85108030322,10.1136/bmjopen-2020-043444,How well do doctors understand a scientific article in English when it is not their first language? A randomised controlled trial,BMJ Open,2021
85108111282,10.1017/S0003055421000447,Executive Power in Crisis,American Political Science Review,2021
85109262377,10.1177/14680173211012576,Social workers’ perceptions of their peers’ unprofessional behavior,Journal of Social Work,2022
85110359502,10.1002/ajcp.12533,Examining Support for University-to-Police Reporting Policies for Sexual Assault: The Role of Survivors’ Consent,American Journal of Community Psychology,2021
85113137140,10.1080/21599165.2021.1965577,Condoning postwar corruption: how legacies of war prevent democratic accountability in contemporary Southeast Europe,East European Politics,2022
85115188399,10.1017/pan.2021.30,Does Conjoint Analysis Mitigate Social Desirability Bias?,Political Analysis,2022
85115626279,10.1016/j.jaac.2021.07.807,Adaptive Treatment for Youth With Substance Use and Depression: Early Depression Response and Short-term Outcomes,Journal of the American Academy of Child and Adolescent Psychiatry,2022
85116921325,10.1016/j.jbusres.2021.09.070,Transforming the automotive retail: Drivers for customers' omnichannel BOPS (Buy Online & Pick up in Store) behavior,Journal of Business Research,2022
85117475822,10.1080/01639625.2021.1990739,Good People Commit Bad Deeds Together: A Factorial Survey on the Moral Antecedents of Situational Deviance in Peer Groups,Deviant Behavior,2022
85117767363,10.1177/0272989X211040815,Key Factors in Decision Making for ECLS: A Binational Factorial Survey,Medical Decision Making,2022
