scopus_id,doi,title,journal,families,phrases,phrase_fields,guards_in_same_field,eligibility
105043494359,10.1016/j.ecolecon.2026.109146,Pro-social versus pro-self motivations for green roof adoption: Evidence from a discrete choice experiment,Ecological Economics,survey_information,information treatment,keywords,false,unreviewed
85169312501,10.1016/j.econlet.2023.111296,Trust in the central bank and inflation expectations: Experimental evidence,Economics Letters,survey_information,information treatment,abstract,true,unreviewed
85214339128,10.1016/j.ejpoleco.2024.102638,Household expectations and dissent among policymakers,European Journal of Political Economy,survey_information,information treatments,abstract,false,unreviewed
85151012294,10.1016/j.eneco.2023.106622,Gas price expectations of Chinese households,Energy Economics,survey_information,information treatments,abstract,true,unreviewed
85121692384,10.1016/j.enpol.2021.112765,Forest bioenergy as a land and wildfire management tool: Economic valuation under different informational contexts,Energy Policy,survey_information,informational treatments,keywords,false,unreviewed
85217743322,10.1016/j.euroecorev.2025.104955,Unit cost expectations: Firms’ perspectives on inflation,European Economic Review,survey_information,information treatments,abstract,false,unreviewed
84996508831,10.1016/j.foodcont.2016.08.017,Perceived barriers to food packaging recycling: Evidence from a choice experiment of US consumers,Food Control,survey_information,information treatments,abstract,true,unreviewed
85003010167,10.1016/j.foodpol.2016.11.008,Consumer preferences before and after a food safety scare: An experimental analysis of the 2010 egg recall,Food Policy,survey_information,information treatment,abstract,true,unreviewed
85069644546,10.1016/j.foodpol.2019.101743,Hen housing system information effects on U.S. egg demand,Food Policy,survey_information,information treatments,abstract,true,unreviewed
85140099381,10.1016/j.foodpol.2022.102366,How do consumers respond to labels for crispr (gene-editing)?,Food Policy,survey_information,information treatments,abstract,true,unreviewed
85198518523,10.1016/j.foodpol.2024.102690,Revisiting heterogenous social desirability bias in consumer willingness to pay for food carbon label: Social norms and environmental concerns,Food Policy,survey_information,information treatment,keywords,false,unreviewed
85214569578,10.1016/j.foodpol.2025.102799,What's the Buzz? Preferences and perceptions of policies to reduce childhood energy drink consumption,Food Policy,survey_information,information treatment,abstract,true,unreviewed
105034154871,10.1016/j.foodpol.2026.103082,"An unknown known: Knowledge, preferences, and acceptance of the Common Agricultural Policy",Food Policy,contextual_design,information provision experiment,abstract,true,unreviewed
85146553043,10.1016/j.foodqual.2023.104816,Paying for sustainable food choices: The role of environmental considerations in consumer valuation of insect-based foods,Food Quality and Preference,survey_information,information treatment,abstract,true,unreviewed
85147863898,10.1016/j.foodqual.2023.104825,Effect of information and innovator reputation on consumers’ willingness to pay for genome-edited foods,Food Quality and Preference,survey_information,information treatments,abstract,true,unreviewed
85171775643,10.1016/j.foodqual.2023.104984,Acceptance of animal-free cheese products: Evidence from an information experiment in Germany,Food Quality and Preference,survey_information,information treatments,abstract|keywords,false,unreviewed
85134596308,10.1016/j.ijdrr.2022.103182,Role of hazard information in the adoption of seismic hazard adjustments: Information treatment experiment in Beijing,International Journal of Disaster Risk Reduction,survey_information,information treatment,title|abstract,true,unreviewed
105022182819,10.1016/j.ijinfomgt.2025.103002,"Deskilling, reskilling, or upskilling? Unpacking the pathways of student adaptation to generative artificial intelligence",International Journal of Information Management,contextual_design,scenario-based experiment,abstract,true,unreviewed
85186641135,10.1016/j.jbef.2024.100905,Evaluating SoJump.com as a tool for online behavioral research in China,Journal of Behavioral and Experimental Finance,contextual_design,framing experiment,abstract,true,unreviewed
84983680238,10.1016/j.jbusres.2016.03.035,CSR motivation and customer extra-role behavior: Moderation of ethical corporate identity,Journal of Business Research,contextual_design,scenario-based experiments,abstract,true,unreviewed
85107701466,10.1016/j.jbusres.2021.04.046,The dark side of channel rewards for observer distributors: A social comparison perspective,Journal of Business Research,contextual_design,scenario-based experiment,abstract,true,unreviewed
85200953447,10.1016/j.jbusres.2024.114886,Gratitude: A catalyst for encouraging consumer ethics,Journal of Business Research,contextual_design,scenario-based experiments,abstract,true,unreviewed
105026216562,10.1016/j.jbusres.2025.115914,Detesting evil: Why parent firms express hostility to resist employee entrepreneurs’ unethical behavior,Journal of Business Research,contextual_design,scenario-based experiment,abstract,true,unreviewed
85196521620,10.1016/j.jcrimjus.2024.102201,Consistently inconsistent: Examining variability in police decision-making in mental health calls using a novel noise audit approach,Journal of Criminal Justice,vignette_survey,vignette-based surveys,abstract,true,unreviewed
85090159000,10.1016/j.jdeveco.2020.102534,Informing and inquiring: Experimental evidence on reducing traffic violations,Journal of Development Economics,survey_information,information treatments,abstract,true,unreviewed
85164359227,10.1016/j.jdeveco.2023.103136,Nonclassical measurement error and farmers’ response to information treatment,Journal of Development Economics,survey_information,information treatment,title|abstract,true,unreviewed
85026474357,10.1016/j.jebo.2017.07.023,Addressing empirical challenges related to the incentive compatibility of stated preferences methods,Journal of Economic Behavior and Organization,survey_information,information treatments,abstract,false,unreviewed
85145815131,10.1016/j.jebo.2022.06.016,Working in the shadow: Survey techniques for measuring and explaining undeclared work,Journal of Economic Behavior and Organization,contextual_design,information provision experiments,abstract,true,unreviewed
85135851376,10.1016/j.jebo.2022.07.021,Chasing the academic dream: Biased beliefs and scientific labor markets,Journal of Economic Behavior and Organization,survey_information,information treatment,abstract,true,unreviewed
105021656856,10.1016/j.jebo.2025.107321,Navigating fiscal fog: Household expectations in an uncertain fiscal environment,Journal of Economic Behavior and Organization,survey_information,information treatments,abstract,true,unreviewed
105036299734,10.1016/j.jebo.2026.107535,"Generative AI, perceived job displacement, and policy preferences: Experimental evidence from China",Journal of Economic Behavior and Organization,text_assignment,randomly assigned to receive information,abstract,true,unreviewed
105038731360,10.1016/j.jebo.2026.107596,Targeting attitudes to combat sexual harassment: A randomized intervention in the Norwegian military,Journal of Economic Behavior and Organization,contextual_design,information provision experiment,keywords,false,unreviewed
105041551371,10.1016/j.jeem.2026.103377,Public support for universal road pricing,Journal of Environmental Economics and Management,survey_information,information treatments,abstract|keywords,true,unreviewed
85042588704,10.1016/j.joep.2018.01.004,All's fair in taxation: A framing experiment with local politicians,Journal of Economic Psychology,contextual_design,framing experiment,title,false,unreviewed
105034182293,10.1016/j.joep.2026.102889,When choice matters: The asymmetric effects of precommitment implementation on healthy food choice,Journal of Economic Psychology,survey_information,information treatment,abstract,false,unreviewed
105037028749,10.1016/j.jpain.2026.106299,Exploring the effect of disease explanations of chronic pain on stigma,Journal of Pain,text_assignment,randomly assigned to read,abstract,true,unreviewed
85034756014,10.1016/j.jpubeco.2017.11.002,Intended college attendance: Evidence from an experiment on college returns and costs,Journal of Public Economics,survey_information,information treatment,abstract,true,unreviewed
85136710065,10.1016/j.jpubeco.2022.104724,Eliciting preferences for income redistribution: A new survey item,Journal of Public Economics,contextual_design,information provision experiments,abstract,true,unreviewed
85204025121,10.1016/j.jpubeco.2024.105213,Listen to her: Gender differences in information diffusion within the household,Journal of Public Economics,contextual_design,information-provision experiment,abstract,false,unreviewed
85033559380,10.1016/j.jvb.2017.10.006,Career adaptability and plateaus: The moderating effects of tenure and job self-efficacy,Journal of Vocational Behavior,contextual_design,scenario-based experiment,abstract,true,unreviewed
85100654780,10.1016/j.mayocp.2020.07.040,"An International, Mixed-Methods Study of the Perceived Intrusiveness of Remote Digital Diabetes Monitoring",Mayo Clinic Proceedings,vignette_survey,vignette-based survey,abstract,true,unreviewed
84959197838,10.1016/j.pec.2015.10.004,Prompting participation in health: Fostering favorable attitudes toward personal health records through message design,Patient Education and Counseling,text_assignment,randomly assigned to read,abstract,true,unreviewed
105005072937,10.1016/j.pec.2025.109175,Practice recommendations for contextualizing explanations of headache pain within a biopsychosocial model,Patient Education and Counseling,text_assignment,randomly assigned to read,abstract,true,unreviewed
84155163879,10.1016/j.rbmo.2011.07.022,Elective single-embryo transfer: Persuasive communication strategies can affect choice in a young British population,Reproductive Biomedicine Online,text_assignment,randomly allocated to read,abstract,true,unreviewed
85214559482,10.1016/j.sapharm.2025.01.004,Effect of pharmaceutical pictograms on the textual comprehension of Prescription Medication Leaflets: A randomized controlled trial,Research in Social and Administrative Pharmacy,text_assignment,randomly assigned to read,abstract,true,unreviewed
85102151641,10.1016/j.scitotenv.2021.145791,The effect of information transfer related to soil biodiversity on Flemish citizens' preferences for forest management,Science of the Total Environment,survey_information,information treatment,abstract|keywords,true,unreviewed
85188203344,10.1016/j.socec.2024.102184,The positionality of goods and the positional concern's origin,Journal of Behavioral and Experimental Economics,survey_information,information treatments,abstract,false,unreviewed
105041146363,10.1016/j.socec.2026.102593,The role of socio-economic background in shaping inequality aversion: Evidence based on experimental survey,Journal of Behavioral and Experimental Economics,survey_information,information treatments,abstract,true,unreviewed
85187528921,10.1016/j.socscimed.2024.116715,A situational test of the health belief model: How perceived susceptibility mediates the effects of the environment on behavioral intentions,Social Science and Medicine,contextual_design,scenario-based experiment,abstract,true,unreviewed
85171160595,10.1016/j.techfore.2023.122845,Social robots as healing aids: How and why powerlessness influences the intention to adopt social robots,Technological Forecasting and Social Change,contextual_design,scenario-based experiment,abstract,true,unreviewed
85119472407,10.1016/j.tranpol.2021.11.014,Shoppers’ logistics activities in omni-channel retailing: A conceptualisation and an exploration on perceptual differences in effort valuation,Transport Policy,contextual_design,scenario-based experiment,abstract,true,unreviewed
85100731047,10.1017/lap.2020.30,"Will i Get COVID-19? Partisanship, Social Media Frames, and Perceptions of Health Risk in Brazil",Latin American Politics and Society,contextual_design,framing experiment,abstract,true,unreviewed
85107828089,10.1017/S0008423921000366,What Moooves Opinion? Examining the Correlates and Dynamics of Mass Support for Supply Management in the Agriculture Sector,Canadian Journal of Political Science,contextual_design,framing experiment,abstract,true,unreviewed
79960150110,10.1017/S1368980010002983,An experimental study on the effects of exposure to magazine advertising on children's food choices,Public Health Nutrition,text_assignment,randomized to read,abstract,true,unreviewed
85211077880,10.1037/apl0001250,Self-Promotion in Entrepreneurship: A Driver for Proactive Adaptation,Journal of Applied Psychology,contextual_design,scenario-based experiments,abstract,true,unreviewed
105023857186,10.1037/pha0000802,"Narrative simulation of financial scarcity: Effects on delay discounting, cigarette craving, and cigarette demand in adults who smoke cigarettes",Experimental and Clinical Psychopharmacology,text_assignment,randomized to read,abstract,true,unreviewed
84870294408,10.1038/oby.2012.144,Impact of information about obesity genomics on the stigmatization of overweight individuals: An experimental study,Obesity,text_assignment,randomly assigned to read,abstract,true,unreviewed
85194821044,10.1038/s41598-024-62046-7,"Identity and inequality misperceptions, demographic determinants and efficacy of corrective measures",Scientific Reports,survey_information,information treatment,keywords,false,unreviewed
85197730149,10.1038/s41598-024-66198-4,Positive public attitudes towards agricultural robots,Scientific Reports,contextual_design,framing experiment,abstract,true,unreviewed
105011308817,10.1038/s41598-025-12083-7,The impact of corporate social responsibility on employee safety citizenship behavior in Chinese gas sector,Scientific Reports,contextual_design,scenario-based experiment,abstract,true,unreviewed
105020272959,10.1038/s43247-025-02731-1,Climate information on sea level rise risk influences individuals' migration preferences in Vietnam,Communications Earth and Environment,survey_information,information treatment,abstract,true,unreviewed
105026897717,10.1080/00220388.2025.2601583,Impacts of Effective Altruism on Donor Behaviour: A Randomised Discrete Choice Experiment,Journal of Development Studies,survey_information,information treatment,abstract,true,unreviewed
85063144912,10.1080/00221546.2019.1574542,Understanding How Information Affects Loan Aversion: A Randomized Control Trial of Providing Federal Loan Information to High School Seniors,Journal of Higher Education,survey_information,information treatment,abstract,true,unreviewed
105037801441,10.1080/07317115.2025.2505581,Patient Values Influence Clinician Judgment of Medical Decision-Making Capacity,Clinical Gerontologist,text_assignment,randomly assigned to read,abstract,true,unreviewed
85011589624,10.1080/07448481.2016.1278376,The use of vignettes to empower effective responses to attempted sexual assault,Journal of American College Health,text_assignment,randomly assigned to read,abstract,true,unreviewed
84897628117,10.1080/10410236.2012.761805,"Narrative Persuasion, Causality, Complex Integration, and Support for Obesity Policy",Health Communication,text_assignment,randomly assigned to read,abstract,true,unreviewed
105012974755,10.1080/10410236.2025.2540061,"Examining the Relationship Between Perceived Ambiguity and Predictors of Health Behavior Across Three Contexts: The COVID-19 Pandemic, Antibiotic Regimens, and e-Cigarette Use",Health Communication,text_assignment,randomly assigned to read,abstract,true,unreviewed
84928398485,10.1080/10508422.2014.1000458,Comprehension of Online Informed Consents: Can It Be Improved?,Ethics and Behavior,text_assignment,randomly assigned to read,abstract,true,unreviewed
84937643268,10.1080/10810730.2015.1018625,Persuasive Effects of Linguistic Agency Assignments and Point of View in Narrative Health Messages about Colon Cancer,Journal of Health Communication,text_assignment,randomly assigned to read,abstract,true,unreviewed
84978511640,10.1080/10810730.2016.1177147,"Narrator Point of View and Persuasion in Health Narratives: The Role of Protagonist–Reader Similarity, Identification, and Self-Referencing",Journal of Health Communication,text_assignment,randomly assigned to read,abstract,true,unreviewed
85026551749,10.1080/10810730.2017.1341568,"Persuasive Effects of Point of View, Protagonist Competence, and Similarity in a Health Narrative About Type 2 Diabetes",Journal of Health Communication,text_assignment,randomly assigned to read,abstract,true,unreviewed
85042933726,10.1080/10810730.2018.1443526,An Experimental Test of the Two-Dimensional Theory of Cultural Sensitivity in Health Communication,Journal of Health Communication,text_assignment,randomly assigned to read,abstract,true,unreviewed
85073817746,10.1080/10810730.2019.1664676,Cognitive and Affective Responses to Mass-media Based Genetic Risk Information in a Socio-demographically Diverse Sample of Smokers,Journal of Health Communication,text_assignment,randomly assigned to read,abstract,true,unreviewed
105008468717,10.1080/13607863.2025.2519613,Stigmatising attitudes towards people with mental disorders in a survey of older Japanese adults before the COVID-19 pandemic,Aging and Mental Health,text_assignment,randomly assigned to read,abstract,true,unreviewed
85024397757,10.1080/13669877.2017.1351470,"Genetic engineering, genetic modification, or agricultural biotechnology: does the term matter?",Journal of Risk Research,survey_wording,question wording experiments,abstract,true,unreviewed
85209376469,10.1080/13669877.2024.2421006,Survey instructions bias perceptions of environmental health risks,Journal of Risk Research,text_assignment,randomised to read,abstract,true,unreviewed
85062364613,10.1080/15456870.2019.1574794,Listicles and the modern news article: comparing the perceived credibility of listicles and traditional articles among millennial media consumers,Atlantic Journal of Communication,text_assignment,randomly assigned to read,abstract,true,unreviewed
77953598313,10.1080/15538605.2010.481958,"Perceptions of self-disclosing counselors among lesbian, gay, and bisexual individuals",Journal of Lgbt Issues in Counseling,text_assignment,randomly assigned to read,abstract,true,unreviewed
85148439954,10.1080/1554477X.2023.2162285,Gender Stereotyping Questions Accurately Measure Beliefs About the Traits and Issue Strengths of Women and Men in Politics,Journal of Women Politics and Policy,survey_wording,question-wording experiment,abstract,true,unreviewed
85106751692,10.1080/23276665.2021.1925133,Air pollution in Northeast Asia: can framing of public messages influence beliefs and attributions?,Asia Pacific Journal of Public Administration,contextual_design,framing experiment,abstract,true,unreviewed
85192064588,10.1080/23294515.2024.2336900,Advance Medical Decision-Making Differs Across First- and Third-Person Perspectives,AJOB Empirical Bioethics,vignette_survey,vignette-based survey,abstract,false,unreviewed
85172731012,10.1088/1748-9326/acf32c,Examining the effect of cost information and framing on support for methane regulations in Europe,Environmental Research Letters,contextual_design,framing experiment,abstract,true,unreviewed
85044627813,10.1093/abm/kax009,Enhancing health message framing with metaphor and cultural values: Impact On latinas' cervical cancer screening,Annals of Behavioral Medicine,text_assignment,randomized to read,abstract,true,unreviewed
85199352674,10.1093/epolic/eiae021,Preferences for labour regulation: endowments versus beliefs,Economic Policy,survey_information,information treatment,abstract,true,unreviewed
84885909502,10.1093/humrep/det354,Physician recommendation for invasive prenatal testing: The case of the 'precious baby',Human Reproduction,text_assignment,randomly assigned to read,abstract,true,unreviewed
85145288161,10.1093/jssam/smab045,A Simple Question Goes a Long Way: A Wording Experiment on Bank Account Ownership,Journal of Survey Statistics and Methodology,survey_wording,wording experiment,title,false,unreviewed
85193706647,10.1093/poq/nfae007,Validating the “Genuine Pipeline” to Limit Social Desirability Bias in Survey Estimates of Voter Turnout,Public Opinion Quarterly,survey_wording,question wording experiments,abstract,true,unreviewed
79952659541,10.1093/poq/nfq073,"""Global warming"" or ""climate change""?",Public Opinion Quarterly,survey_wording,question wording experiment,abstract,true,unreviewed
84928790041,10.1093/poq/nfu026,Inoculation in competitive framing examining message effects on policy preferences,Public Opinion Quarterly,contextual_design,framing experiment,abstract,true,unreviewed
85082055465,10.1093/qje/qjz029,Inflation Expectations and Firm Decisions: New Causal Evidence,Quarterly Journal of Economics,survey_information,information treatment,abstract,true,unreviewed
85210769305,10.1097/CCM.0000000000006494,An International Factorial Vignette-Based Survey of Intubation Decisions in Acute Hypoxemic Respiratory Failure,Critical Care Medicine,vignette_survey,vignette-based survey,title|abstract,true,unreviewed
85190156129,10.1097/MLR.0000000000001993,Development and Evaluation of Messages for Reducing Overscreening of Breast Cancer in Older Women,Medical Care,text_assignment,randomized to read,abstract,true,unreviewed
80955136594,10.1097/MRR.0b013e32834d2048,Attitudes toward people with disabilities caused by illness or injury: Beyond physical impairment,International Journal of Rehabilitation Research,text_assignment,randomly assigned to read,abstract,true,unreviewed
84875056585,10.1097/NMD.0b013e3182848c24,The effects of news stories on the stigma of mental illness,Journal of Nervous and Mental Disease,text_assignment,randomly assigned to read,abstract,true,unreviewed
85127961015,10.1097/PRS.0000000000008903,Cognitive Bias and Therapy Choice in Breast Reconstruction Surgery Decision-Making,Plastic and Reconstructive Surgery,contextual_design,framing experiment,abstract,true,unreviewed
84880611452,10.1108/03090561311324327,Speak my language if you want my money: Service language's influence on consumer tipping behavior,European Journal of Marketing,contextual_design,scenario-based experiment,abstract,true,unreviewed
85181240716,10.1108/CDI-06-2023-0192,"How knowledge sharing affects career adaptability: roles of knowledge depth, self-efficacy and reflective thinking",Career Development International,contextual_design,scenario-based experiment,abstract,true,unreviewed
85073973025,10.1108/EDI-12-2018-0222,High-profile sexual misconduct media triggers sex harassment recall and reinterpretation,Equality Diversity and Inclusion,text_assignment,randomly assigned to read,abstract,true,unreviewed
85140966384,10.1108/EJM-06-2021-0460,Making a positive (or negative) first impression with small talk,European Journal of Marketing,contextual_design,scenario-based experiments,abstract,true,unreviewed
85089594469,10.1108/EJM-10-2018-0713,Different status reevaluation period and communication styles for top-tier and bottom-tier customers in multi-tier loyalty programs,European Journal of Marketing,contextual_design,scenario-based experiments,abstract,true,unreviewed
85119018179,10.1108/IJCMA-08-2021-0131,Workplace incivility and bystanders’ helping intentions,International Journal of Conflict Management,text_assignment,randomised to read,abstract,true,unreviewed
105047482808,10.1108/IJCMA-12-2025-0428,Beyond “tit-for-tat”: understanding employees’ divergent reactions to customer mistreatment,International Journal of Conflict Management,contextual_design,scenario-based experiment,abstract,true,unreviewed
85177599967,10.1108/INTR-10-2022-0844,Performance implications of match between social media–enabled interactions and contracts in interfirm governance,Internet Research,contextual_design,scenario-based experiment,abstract,true,unreviewed
85143317308,10.1108/JMP-01-2021-0008,Linking self-efficacy and organizational identification: a moderated mediation model based on a self-verification perspective,Journal of Managerial Psychology,contextual_design,scenario-based experiment,abstract,true,unreviewed
105041054707,10.1108/JMP-02-2025-0210,Algorithm transparency and turnover intention of gig workers: the role of perceived dehumanization and self-perceived employability,Journal of Managerial Psychology,contextual_design,scenario-based experiment,abstract,true,unreviewed
85125889085,10.1108/JMP-04-2021-0255,"Daily supervisor support, engagement and prosocial behavior: how turnover intentions reduce the resources to pay it forward",Journal of Managerial Psychology,contextual_design,scenario-based experiment,abstract,true,unreviewed
84929336470,10.1108/JMP-11-2012-0368,"Workplace romances: Examining attitudes experience, conscientiousness, and policies",Journal of Managerial Psychology,text_assignment,randomly assigned to read,abstract,true,unreviewed
105036985918,10.1108/PIJPSM-01-2026-0001,When perpetrators deny: unpacking police responses to domestic violence cases,Policing,vignette_survey,vignette-based survey,abstract,true,unreviewed
85189108848,10.1111/ajsp.12609,The link between people's social perceptions of cultivated meat eaters and their acceptance of cultivated meat,Asian Journal of Social Psychology,text_assignment,randomly assigned to read,abstract,true,unreviewed
84908031168,10.1111/bjhp.12069,Concerns about unintended negative consequences of informing the public about multifactorial risks may be premature for young adult smokers,British Journal of Health Psychology,text_assignment,randomly assigned to read,abstract,true,unreviewed
85133970957,10.1111/ecin.13111,Informing employees in small and medium-sized firms about training: Results of a randomized field experiment,Economic Inquiry,survey_information,information treatment,keywords,false,unreviewed
85200241054,10.1111/gove.12893,E-government and citizen-state relations: Evidence from a randomized information campaign with the Botswana Unified Revenue Service,Governance,survey_information,information treatment,abstract,true,unreviewed
84962168128,10.1111/ijcs.12264,"Consumers' willingness to pay for conventional, organic and functional yogurt: Evidence from experimental auctions",International Journal of Consumer Studies,survey_information,information treatment,abstract,true,unreviewed
105032676197,10.1111/jssr.70034,"The Right Kind of Children: Christian Nationalism, Religiosity, and Support for Selective Versus General Pronatalism",Journal for the Scientific Study of Religion,survey_wording,wording experiment,abstract,true,unreviewed
85019066477,10.1111/medu.13275,Effects of medical trainees’ weight-loss history on perceptions of patients with obesity,Medical Education,text_assignment,randomly assigned to read,abstract,true,unreviewed
84886309013,10.1111/peps.12030,Applicants' and employees' reactions to corporate social responsibility: The moderating effects of first-party justice perceptions and moral identity,Personnel Psychology,contextual_design,scenario-based experiment,abstract,true,unreviewed
85013469498,10.1111/poms.12675,"Surprise, Anticipation, and Sequence Effects in the Design of Experiential Services",Production and Operations Management,contextual_design,scenario-based experiment,abstract,true,unreviewed
85039072357,10.1111/psq.12158,Polls and Elections Public Perceptions Regarding the Authenticity of the 2012 Presidential Candidates,Presidential Studies Quarterly,survey_wording,question-wording experiment,abstract,true,unreviewed
105012405225,10.1111/risa.70076,Generating targeted and tailored health communication narratives with AI,Risk Analysis,text_assignment,randomly assigned to read,abstract,true,unreviewed
85042092771,10.1136/bmjopen-2017-018355,Influence of overstated abstract conclusions on clinicians: A web-based randomised controlled trial,BMJ Open,text_assignment,randomly assigned to read,abstract,true,unreviewed
85108030322,10.1136/bmjopen-2020-043444,How well do doctors understand a scientific article in English when it is not their first language? A randomised controlled trial,BMJ Open,text_assignment,randomly assigned to read,abstract,true,unreviewed
84986617489,10.1177/0021934716642590,Is Same-Sex Marriage an Equality Issue? Framing Effects Among African Americans,Journal of Black Studies,contextual_design,framing experiment,abstract,true,unreviewed
85047404230,10.1177/0022042618770632,Perceived Risk of Emerging Recreational Drugs: Impact of Anecdotal and Statistical Evidence,Journal of Drug Issues,text_assignment,randomly assigned to read,abstract,true,unreviewed
